Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;Deaths;KP%;WardPlaced;WardKilled;Damage/Min;JungleProximity;topLanePresence;midLanePresence;botLanePresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
2024-01-02;League of Legends Scrims;scrim| aeg g3;2615697;14.1.547.8890;1;AEG Veignorem;694;-140;3;0.75;17;11;181.10333343567927;0.2888086642599278;0.0;0.09626955475330927;0.3850782190132371;0.026474127557160047;0.10830324909747292;0.006016847172081829;0.02527075812274368;0.08182912154031288;0.021660649819494584
2024-01-02;League of Legends Scrims;scrim| aeg g4;2615704;14.1.547.8890;1;AEG Veignorem;-1418;-533;2;0.5555555555555556;11;4;447.55554078804334;0.16987951807228915;0.1650602409638554;0.0;0.4903614457831325;0.0024096385542168677;0.02891566265060241;0.02891566265060241;0.010843373493975903;0.0036144578313253013;0.021686746987951807
2024-01-02;League of Legends Scrims;scrim| aeg g4;2615704;14.1.547.8890;1;SUP JACTROLL;-1418;-533;4;0.4;16;3;298.7255430605231;0.2397590361445783;0.0024096385542168677;0.09759036144578313;0.39759036144578314;0.04578313253012048;0.05903614457831325;0.0;0.08313253012048193;0.06867469879518072;0.0
2024-01-03;League of Legends Scrims;scrim| eiq game 1 rmk;2616045;14.1.547.8890;1;EIQ denyk;199;563;2;0.5;13;4;35.477183713164955;0.26144578313253014;0.0;0.056626506024096385;0.5566265060240964;0.00963855421686747;0.09156626506024096;0.0;0.0;0.03493975903614458;0.03614457831325301
2024-01-03;League of Legends Scrims;scrim| eiq game 1 rmk;2616045;14.1.547.8890;1;AEG Veignorem;199;563;1;0.25;12;5;199.95606214201396;0.11566265060240964;0.0;0.05783132530120482;0.6;0.008433734939759036;0.05421686746987952;0.0;0.03855421686746988;0.03614457831325301;0.0
2024-01-03;League of Legends Scrims;scrim| eiq game 2;2616074;14.1.547.8890;1;AEG Veignorem;-237;-276;0;0.3333333333333333;12;1;246.3230649618968;0.2216867469879518;0.04216867469879518;0.006024096385542169;0.5036144578313253;0.01566265060240964;0.043373493975903614;0.0;0.051807228915662654;0.04939759036144578;0.04216867469879518
2024-01-03;League of Legends Scrims;scrim| eiq game 2;2616074;14.1.547.8890;1;EIQ denyk;-237;-276;0;1.0;8;5;198.22644049700435;0.40481927710843374;0.0;0.07590361445783132;0.4072289156626506;0.03855421686746988;0.06867469879518072;0.014457831325301205;0.021686746987951807;0.08674698795180723;0.043373493975903614
2024-01-03;League of Legends Scrims;scrim| eiq game 3;2616108;14.1.547.8890;1;EIQ denyk;417;684;2;0.5;14;6;80.2008866519527;0.28674698795180725;0.0;0.0;0.708433734939759;0.0;0.046987951807228916;0.0;0.021686746987951807;0.04216867469879518;0.0
2024-01-03;League of Legends Scrims;scrim| eiq game 3;2616108;14.1.547.8890;1;AEG Veignorem;417;684;0;0.4444444444444444;16;7;92.23367467685122;0.20722891566265061;0.0;0.02650602409638554;0.42530120481927713;0.00963855421686747;0.07228915662650602;0.0;0.0891566265060241;0.13493975903614458;0.0036144578313253013
2024-01-03;League of Legends Scrims;scrim| eiq game 4;2616136;14.1.547.8890;1;AEG Veignorem;1088;-614;2;0.5555555555555556;19;3;254.78930199249365;0.2253012048192771;0.0;0.03975903614457831;0.3710843373493976;0.010843373493975903;0.10120481927710843;0.01927710843373494;0.06144578313253012;0.02650602409638554;0.03855421686746988
2024-01-03;League of Legends Scrims;scrim| eiq game 4;2616136;14.1.547.8890;1;EIQ denyk;1088;-614;4;0.625;18;1;125.09454577341394;0.26024096385542167;0.0;0.014457831325301205;0.44216867469879517;0.012048192771084338;0.06506024096385542;0.018072289156626505;0.06144578313253012;0.02650602409638554;0.021686746987951807
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game1;2616371;14.1.553.2414;1;DRX Pleata;-64;-460;0;0.5;12;2;198.64429329211382;0.16987951807228915;0.0;0.024096385542168676;0.6903614457831325;0.014457831325301205;0.01927710843373494;0.0;0.046987951807228916;0.030120481927710843;0.0
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game1;2616371;14.1.553.2414;1;NS Peter;-64;-460;1;1.0;15;1;97.6176622468493;0.2289156626506024;0.0;0.010843373493975903;0.6614457831325301;0.012048192771084338;0.06746987951807229;0.0;0.0024096385542168677;0.04096385542168675;0.014457831325301205
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game2;2616371;14.1.553.2414;2;DRX Pleata;222;-272;0;1.0;13;4;131.34323265790815;0.35499398315282793;0.0;0.148014440433213;0.4452466907340554;0.036101083032490974;0.0421179302045728;0.009626955475330927;0.036101083032490974;0.06257521058965103;0.02888086642599278
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game2;2616371;14.1.553.2414;2;NS Peter;222;-272;0;0.0;19;3;60.25857891860104;0.2815884476534296;0.0;0.09626955475330927;0.4452466907340554;0.01444043321299639;0.07821901323706378;0.0;0.019253910950661854;0.07340553549939831;0.024067388688327317
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game1;2616372;14.1.553.2414;1;GEN Lehends;498;900;0;0.0;20;5;54.3422840225411;0.20240963855421687;0.0;0.06385542168674699;0.5578313253012048;0.016867469879518072;0.08072289156626505;0.01325301204819277;0.0;0.01325301204819277;0.014457831325301205
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game1;2616372;14.1.553.2414;1;T1 Keria;498;900;0;0.0;17;2;67.27664953644616;0.2289156626506024;0.0;0.07710843373493977;0.6903614457831325;0.012048192771084338;0.03253012048192771;0.0024096385542168677;0.0036144578313253013;0.01927710843373494;0.018072289156626505
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game2;2616372;14.1.553.2414;2;T1 Keria;-2139;-1101;0;0.5;12;7;352.9865454096968;0.13734939759036144;0.0;0.1566265060240964;0.5253012048192771;0.0036144578313253013;0.03493975903614458;0.007228915662650603;0.0;0.04578313253012048;0.05903614457831325
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game2;2616372;14.1.553.2414;2;GEN Lehends;-2139;-1101;0;0.3333333333333333;20;5;106.96173665719887;0.27349397590361446;0.0;0.12289156626506025;0.3566265060240964;0.02530120481927711;0.1180722891566265;0.0;0.04216867469879518;0.11927710843373494;0.01325301204819277
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game3;2616372;14.1.553.2414;3;T1 Keria;303;395;2;0;28;6;145.1480584541646;0.2891566265060241;0.0036144578313253013;0.1;0.172289156626506;0.163855421686747;0.10602409638554217;0.03734939759036145;0.004819277108433735;0.05060240963855422;0.0819277108433735
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game3;2616372;14.1.553.2414;3;GEN Lehends;303;395;0;0.6666666666666666;23;19;109.63784977848658;0.4;0.0036144578313253013;0.16987951807228915;0.060240963855421686;0.10843373493975904;0.03132530120481928;0.07228915662650602;0.12048192771084337;0.07710843373493977;0.1180722891566265
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239857|game1;2616373;14.1.553.2414;1;BRO Effort;395;516;1;1.0;33;5;72.26716332547299;0.3493975903614458;0.0;0.03493975903614458;0.36626506024096384;0.05783132530120482;0.13975903614457832;0.01566265060240964;0.0036144578313253013;0.01566265060240964;0.03614457831325301
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239857|game1;2616373;14.1.553.2414;1;DK Kellin;395;516;1;1.0;29;6;113.06186833687936;0.29156626506024097;0.0;0.027710843373493974;0.4795180722891566;0.004819277108433735;0.05421686746987952;0.03132530120481928;0.04457831325301205;0.03614457831325301;0.0855421686746988
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239857|game2;2616373;14.1.553.2414;2;BRO Effort;-409;-270;0;1.0;25;10;135.87464449011517;0.23012048192771084;0.0;0.043373493975903614;0.3409638554216867;0.0;0.17951807228915662;0.0;0.024096385542168676;0.1891566265060241;0.0
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239857|game2;2616373;14.1.553.2414;2;DK Kellin;-409;-270;1;0.3333333333333333;27;12;109.66239303985058;0.29036144578313255;0.0;0.06746987951807229;0.41927710843373495;0.006024096385542169;0.15180722891566265;0.0;0.02530120481927711;0.14819277108433734;0.02650602409638554
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305501|game1;2616374;14.1.553.2414;1;KT BeryL;-402;-450;3;0.75;17;8;283.85756850512115;0.1746987951807229;0.0;0.04096385542168675;0.519277108433735;0.07108433734939759;0.11204819277108434;0.0;0.004819277108433735;0.07590361445783132;0.02289156626506024
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305501|game1;2616374;14.1.553.2414;1;FOX Execute;-402;-450;1;0.8571428571428571;22;6;217.91606035627618;0.2674698795180723;0.018072289156626505;0.03855421686746988;0.3542168674698795;0.024096385542168676;0.1566265060240964;0.0;0.0;0.09156626506024096;0.07349397590361446
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305501|game2;2616374;14.1.553.2414;2;FOX Execute;1492;663;3;0.6;21;6;169.8331958856415;0.26506024096385544;0.0;0.00963855421686747;0.3795180722891566;0.030120481927710843;0.11927710843373494;0.0;0.010843373493975903;0.03855421686746988;0.06385542168674699
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305501|game2;2616374;14.1.553.2414;2;KT BeryL;1492;663;1;0.875;17;5;372.1058919008603;0.15180722891566265;0.0;0.0891566265060241;0.5265060240963856;0.016867469879518072;0.043373493975903614;0.0;0.02530120481927711;0.05060240963855422;0.046987951807228916
2024-01-19;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239833|game1;2616375;14.1.553.2414;1;HLE Delight;169;-262;1;0;16;2;154.55818269279908;0.18313253012048192;0.0;0.13132530120481928;0.5734939759036145;0.012048192771084338;0.05301204819277108;0.0024096385542168677;0.014457831325301205;0.051807228915662654;0.00963855421686747
2024-01-19;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239833|game1;2616375;14.1.553.2414;1;DRX Pleata;169;-262;0;1.0;13;5;135.53483034166834;0.25662650602409637;0.0;0.1530120481927711;0.4746987951807229;0.01325301204819277;0.09036144578313253;0.0;0.0;0.05301204819277108;0.0
2024-01-19;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239833|game2;2616375;14.1.553.2414;2;HLE Delight;-362;-145;0;0.6;19;4;132.57528402031105;0.24457831325301205;0.0;0.056626506024096385;0.6662650602409639;0.0;0.05783132530120482;0.004819277108433735;0.0;0.05060240963855422;0.021686746987951807
2024-01-19;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239833|game2;2616375;14.1.553.2414;2;DRX Pleata;-362;-145;1;1.0;13;5;248.0371062028004;0.20843373493975903;0.056626506024096385;0.05060240963855422;0.6313253012048192;0.05542168674698795;0.010843373493975903;0.006024096385542169;0.0;0.0;0.01325301204819277
2024-01-19;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305521|game1;2616376;14.1.553.2414;1;T1 Keria;-802;-1697;0;0.5;16;2;130.339532568658;0.26385542168674697;0.0;0.07710843373493977;0.6650602409638554;0.0036144578313253013;0.027710843373493974;0.0;0.02650602409638554;0.021686746987951807;0.004819277108433735
2024-01-19;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305521|game1;2616376;14.1.553.2414;1;KDF Andil;-802;-1697;1;0;15;2;107.39974657213504;0.17590361445783131;0.0;0.06987951807228916;0.553012048192771;0.012048192771084338;0.046987951807228916;0.0;0.0;0.021686746987951807;0.02289156626506024
2024-01-19;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305521|game2;2616376;14.1.553.2414;2;T1 Keria;-422;-591;1;0.6666666666666666;14;2;301.4728832393524;0.2433734939759036;0.0;0.05421686746987952;0.6783132530120481;0.006024096385542169;0.016867469879518072;0.0;0.008433734939759036;0.04096385542168675;0.0
2024-01-19;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305521|game2;2616376;14.1.553.2414;2;KDF Andil;-422;-591;2;1.0;15;4;134.7985896171719;0.26144578313253014;0.0;0.04939759036144578;0.6951807228915663;0.01927710843373494;0.03132530120481928;0.0;0.0036144578313253013;0.04578313253012048;0.012048192771084338
2024-01-20;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239905|game1;2616377;14.1.553.2414;1;BRO Effort;-245;-192;1;0;23;9;138.2096390369421;0.24457831325301205;0.0;0.01927710843373494;0.44096385542168676;0.02650602409638554;0.20843373493975903;0.0;0.0036144578313253013;0.07228915662650602;0.014457831325301205
2024-01-20;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239905|game1;2616377;14.1.553.2414;1;FOX Execute;-245;-192;0;0.25;33;7;57.40980667508974;0.3686746987951807;0.0;0.018072289156626505;0.3746987951807229;0.014457831325301205;0.0927710843373494;0.00963855421686747;0.046987951807228916;0.15903614457831325;0.04096385542168675
2024-01-20;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239905|game2;2616377;14.1.553.2414;2;FOX Execute;-18;439;0;1.0;15;7;76.94255897297138;0.39518072289156625;0.0;0.06746987951807229;0.3542168674698795;0.0;0.1686746987951807;0.0;0.06144578313253012;0.13012048192771083;0.030120481927710843
2024-01-20;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239905|game2;2616377;14.1.553.2414;2;BRO Effort;-18;439;0;0;41;22;64.9187219849777;0.26024096385542167;0.0;0.00963855421686747;0.3;0.0;0.2216867469879518;0.0;0.10120481927710843;0.09156626506024096;0.0
2024-01-20;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239933|game1;2616378;14.1.553.2414;1;NS Peter;134;655;0;0.75;16;6;226.62785118409897;0.19759036144578312;0.0;0.06746987951807229;0.5626506024096386;0.004819277108433735;0.06746987951807229;0.010843373493975903;0.01927710843373494;0.043373493975903614;0.018072289156626505
2024-01-20;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239933|game1;2616378;14.1.553.2414;1;GEN Lehends;134;655;0;0.0;16;5;154.64749414570736;0.20963855421686747;0.0;0.07590361445783132;0.5602409638554217;0.024096385542168676;0.04939759036144578;0.0;0.008433734939759036;0.06626506024096386;0.0
2024-01-20;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239933|game2;2616378;14.1.553.2414;2;GEN Lehends;-1217;-1231;1;0.8888888888888888;16;2;99.28243589283365;0.2710843373493976;0.02530120481927711;0.07349397590361446;0.4397590361445783;0.0;0.060240963855421686;0.014457831325301205;0.06144578313253012;0.05542168674698795;0.03253012048192771
2024-01-20;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239933|game2;2616378;14.1.553.2414;2;NS Peter;-1217;-1231;1;0.6666666666666666;17;5;203.64790623973755;0.3253012048192771;0.0;0.08795180722891566;0.43855421686746987;0.033734939759036145;0.07951807228915662;0.0;0.05301204819277108;0.08795180722891566;0.0
