Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;CS/Min;Kills;Deaths;Assists;KP%;WardPlaced;WardKilled;Damage/Min;TotalDamageDealtToBuilding;TotalDamageDealtToObjectives;JungleProximity;topLanePresence;midLanePresence;botLanePresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
2024-01-02;League of Legends Scrims;scrim| aeg g3;2615697;14.1.547.8890;1;AEG Nafkelah;-540;-986;5.747440771340651;1;5;5;0.5;5;1;497.7093800162763;1245.105224609375;1245.105224609375;0.3405535499398315;0.0;0.5354993983152828;0.1095066185318893;0.026474127557160047;0.032490974729241874;0.0;0.0;0.049338146811071;0.012033694344163659
2024-01-02;League of Legends Scrims;scrim| aeg g4;2615704;14.1.547.8890;1;AEG Nafkelah;510;804;8.71986699246957;2;1;1;0.3333333333333333;6;4;461.4242895573765;2281.984619140625;2550.8369140625;0.5686746987951807;0.012048192771084338;0.6204819277108434;0.05542168674698795;0.006024096385542169;0.05301204819277108;0.008433734939759036;0.010843373493975903;0.03253012048192771;0.03614457831325301
2024-01-02;League of Legends Scrims;scrim| aeg g4;2615704;14.1.547.8890;1;SUP BLUE;-510;-804;7.329743269032392;3;0;2;0.5;4;3;502.08204546441044;2792.50390625;3202.6943359375;0.44096385542168676;0.0;0.45903614457831327;0.23373493975903614;0.010843373493975903;0.004819277108433735;0.0;0.0783132530120482;0.046987951807228916;0.0
2024-01-03;League of Legends Scrims;scrim| eiq game 1 rmk;2616045;14.1.547.8890;1;AB many;-1067;-1321;8.782604682767326;0;2;0;0.0;6;1;239.9168795117757;30.5919132232666;2150.8896484375;0.3566265060240964;0.09036144578313253;0.6493975903614457;0.0;0.01325301204819277;0.012048192771084338;0.0;0.0;0.01927710843373494;0.05903614457831325
2024-01-03;League of Legends Scrims;scrim| eiq game 1 rmk;2616045;14.1.547.8890;1;AEG Nafkelah;1067;1321;10.109473016135052;1;0;1;0.5;5;2;367.6120062885153;2456.95166015625;2456.95166015625;0.5626506024096386;0.0;0.827710843373494;0.033734939759036145;0.0;0.012048192771084338;0.0;0.0012048192771084338;0.03855421686746988;0.0
2024-01-03;League of Legends Scrims;scrim| eiq game 2;2616074;14.1.547.8890;1;AEG Nafkelah;141;351;8.780564346178963;0;0;1;0.3333333333333333;7;4;332.2652382019069;858.4625244140625;858.4625244140625;0.4843373493975904;0.060240963855421686;0.6638554216867469;0.0;0.020481927710843374;0.004819277108433735;0.0;0.02891566265060241;0.04578313253012048;0.030120481927710843
2024-01-03;League of Legends Scrims;scrim| eiq game 2;2616074;14.1.547.8890;1;AB many;-141;-351;8.780564346178963;0;1;0;0.0;5;2;299.0954990987285;112.55558776855469;112.55558776855469;0.3650602409638554;0.014457831325301205;0.6337349397590362;0.0;0.04216867469879518;0.02289156626506024;0.0012048192771084338;0.0;0.01566265060240964;0.04216867469879518
2024-01-03;League of Legends Scrims;scrim| eiq game 3;2616108;14.1.547.8890;1;AB many;-412;-586;8.720213604870752;0;1;0;0.0;4;0;227.58569920179303;0;121.3666000366211;0.3746987951807229;0.0;0.6819277108433734;0.008433734939759036;0.0024096385542168677;0.03614457831325301;0.0024096385542168677;0.008433734939759036;0.060240963855421686;0.043373493975903614
2024-01-03;League of Legends Scrims;scrim| eiq game 3;2616108;14.1.547.8890;1;AEG Nafkelah;412;586;9.415303095114073;0;0;1;0.1111111111111111;5;0;516.4318986626168;235.9486083984375;1065.779052734375;0.41445783132530123;0.02650602409638554;0.6626506024096386;0.0012048192771084338;0.033734939759036145;0.014457831325301205;0.0036144578313253013;0.0;0.10361445783132531;0.03253012048192771
2024-01-03;League of Legends Scrims;scrim| eiq game 4;2616136;14.1.547.8890;1;AEG Nafkelah;617;332;8.847442733449544;4;0;1;0.2777777777777778;4;0;699.8095154274397;0;0;0.29518072289156627;0.02530120481927711;0.6156626506024097;0.03975903614457831;0.006024096385542169;0.030120481927710843;0.00963855421686747;0.0;0.03975903614457831;0.02289156626506024
2024-01-03;League of Legends Scrims;scrim| eiq game 4;2616136;14.1.547.8890;1;AB many;-617;-332;8.215482538203148;2;2;1;0.375;3;1;343.51455395819323;805.3887939453125;2610.23486328125;0.42650602409638555;0.04096385542168675;0.6445783132530121;0.05301204819277108;0.01566265060240964;0.014457831325301205;0.0;0.008433734939759036;0.04457831325301205;0.02530120481927711
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game1;2616371;14.1.553.2414;1;DRX SeTab;1212;1325;10.179148417150525;1;0;1;0.5;8;3;408.35902174060425;2221.608642578125;2221.608642578125;0.4614457831325301;0.0;0.7228915662650602;0.04216867469879518;0.0;0.0036144578313253013;0.0012048192771084338;0.02289156626506024;0.030120481927710843;0.012048192771084338
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game1;2616371;14.1.553.2414;1;NS Callme;-1212;-1325;8.219188162916574;0;2;0;0.0;7;3;393.66506190490696;0;0;0.44819277108433736;0.0;0.7710843373493976;0.06385542168674699;0.02289156626506024;0.0;0.0;0.0;0.016867469879518072;0.0036144578313253013
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game2;2616371;14.1.553.2414;2;DRX SeTab;-1015;-744;8.653562607644883;0;0;1;0.5;5;0;261.8479293748354;0;3022.38525390625;0.42719614921780985;0.021660649819494584;0.5884476534296029;0.02286401925391095;0.032490974729241874;0.02286401925391095;0.0;0.013237063778580024;0.03369434416365824;0.06498194945848375
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game2;2616371;14.1.553.2414;2;NS Callme;1015;744;10.043185800113404;0;0;0;0.0;7;3;366.256942248022;505.43035888671875;505.43035888671875;0.40794223826714804;0.0;0.6293622141997594;0.1022864019253911;0.006016847172081829;0.08784596871239471;0.0;0.0;0.02286401925391095;0.0024067388688327317
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game1;2616372;14.1.553.2414;1;GEN Chovy;-579;694;10.740935955552919;1;0;0;1.0;7;2;287.91687202185204;2743.34375;3815.30029296875;0.4987951807228916;0.05301204819277108;0.5759036144578313;0.06867469879518072;0.03253012048192771;0.021686746987951807;0.008433734939759036;0.014457831325301205;0.04216867469879518;0.012048192771084338
